iter	Logloss
0	0.4669385403
1	0.4240580737
2	0.4115958198
3	0.4038861985
4	0.4005756926
5	0.3964503354
6	0.3945470337
7	0.3929443126
8	0.3902548062
9	0.3896511324
10	0.3871335633
11	0.3847212065
12	0.383293107
13	0.3811084661
14	0.3801988397
15	0.3789416148
16	0.3778790991
17	0.3767267875
18	0.3757936368
19	0.3751407621
20	0.3736634655
21	0.3713684927
22	0.3692263958
23	0.3681285023
24	0.3669572977
25	0.3655855363
26	0.3644460903
27	0.3628943141
28	0.3620721074
29	0.3601668623
30	0.3589819083
31	0.3585487277
32	0.3580079606
33	0.3570284381
34	0.3561526294
35	0.3553236743
36	0.3546905365
37	0.3536981219
38	0.3530705735
39	0.3521290416
40	0.35115508
41	0.3505268614
42	0.3499639896
43	0.3494291256
44	0.3486067219
45	0.3480292081
46	0.3474743738
47	0.3463675059
48	0.3461079125
49	0.3455584336
50	0.3451925287
51	0.3449917748
52	0.3443858423
53	0.3438339942
54	0.3432118137
55	0.3428357246
56	0.3424679628
57	0.3417735221
58	0.3415053356
59	0.3409210056
60	0.3403283714
61	0.3398357198
62	0.3395277696
63	0.3392212715
64	0.3389072347
65	0.338194665
66	0.3378536359
67	0.3373111149
68	0.3367796837
69	0.3364908851
70	0.3360642953
71	0.3355401987
72	0.3350619393
73	0.3344261911
74	0.3339667409
75	0.3337330653
76	0.3334106568
77	0.3329199111
78	0.3324660457
79	0.3320897874
80	0.331689678
81	0.3311018979
82	0.3307635457
83	0.3306179762
84	0.3302243211
85	0.3298079355
86	0.3295163556
87	0.3292639554
88	0.3286833881
89	0.3286626877
90	0.3283307035
91	0.3280238347
92	0.3276638846
93	0.3272898945
94	0.3270824971
95	0.3266674245
96	0.326193996
97	0.3256538756
98	0.3253418512
99	0.3249169588
