iter	Passed	Remaining
0	224	22214
1	244	11957
2	258	8343
3	269	6470
4	280	5326
5	291	4566
6	301	4011
7	313	3604
8	325	3287
9	335	3022
10	346	2803
11	358	2626
12	369	2474
13	380	2340
14	391	2219
15	403	2116
16	415	2027
17	426	1944
18	439	1873
19	451	1804
20	461	1736
21	472	1676
22	483	1620
23	495	1568
24	506	1518
25	517	1472
26	528	1428
27	539	1387
28	550	1347
29	561	1311
30	573	1276
31	584	1241
32	595	1208
33	607	1180
34	620	1151
35	632	1124
36	644	1096
37	655	1068
38	666	1041
39	677	1016
40	689	991
41	700	967
42	711	943
43	722	919
44	733	896
45	744	873
46	755	852
47	766	830
48	777	809
49	787	787
50	800	768
51	811	748
52	823	730
53	835	711
54	847	693
55	858	674
56	869	655
57	880	637
58	891	619
59	902	601
60	914	584
61	925	567
62	936	549
63	946	532
64	957	515
65	968	498
66	980	482
67	994	467
68	1007	452
69	1019	436
70	1032	421
71	1044	406
72	1056	390
73	1069	375
74	1080	360
75	1090	344
76	1101	329
77	1111	313
78	1122	298
79	1134	283
80	1145	268
81	1156	253
82	1167	239
83	1178	224
84	1190	210
85	1202	195
86	1214	181
87	1227	167
88	1238	153
89	1248	138
90	1259	124
91	1270	110
92	1281	96
93	1292	82
94	1303	68
95	1314	54
96	1326	41
97	1337	27
98	1349	13
99	1361	0
